Year,Movie Name,Genre,BoxOfficeCollection,Rating
2000,Kaho Naa... Pyaar Hai,"Romance, Action",62,6.9
2000,Mohabbatein,"Drama, Romance",43.5,7.1
2000,Mission Kashmir,"Action, Drama",34,6.8
2000,Josh,"Action, Drama",30,6.1
2000,Har Dil Jo Pyar Karega,"Drama, Romance",24,5.2
2000,Dulhan Hum Le Jayenge,"Comedy, Romance",21,5.1
2000,Fiza,Drama,18,6.1
2000,Refugee,"Drama, Romance",17,5.4
2000,Raju Chacha,"Drama, Family",14.5,5.3
2000,Dhadkan,"Drama, Romance",13.5,6.5
2001,Gadar: Ek Prem Katha,"Action, Drama",76.88,7.2
2001,Kabhi Khushi Kabhie Gham...,"Drama, Romance",55.65,7.4
2001,Lagaan: Once Upon a Time...,"Drama, Sport",36,8.1
2001,Dil Chahta Hai,"Comedy, Drama",28,8.1
2001,Indian,"Drama, Thriller",22,5.8
2001,Mujhe Kucch Kehna Hai,"Romance, Drama",20.25,5.3
2001,Yaadein,"Drama, Musical",17,4.3
2001,Ajnabee,"Mystery, Thriller",16.5,6.4
2001,Chori Chori Chupke Chupke,"Drama, Romance",14,5.1
2001,Zubeidaa,"Biography, Drama",13,6.5
2002,Devdas,"Drama, Romance",41,7.6
2002,Raaz,"Horror, Thriller",23,6.5
2002,Saathiya,"Drama, Romance",15,6.8
2002,Kaante,"Action, Crime",14,6.5
2002,Humraaz,"Musical, Thriller",13.5,6.4
2002,Mujhse Dosti Karoge!,"Drama, Romance",12.5,5.1
2002,Aankhen,"Drama, Thriller",12.25,7.4
2002,Mere Yaar Ki Shaadi Hai,"Comedy, Drama",12,5.4
2002,Awara Paagal Deewana,"Action, Comedy",11.25,6.2
2002,Company,"Action, Crime",10.5,8
2003,Koi... Mil Gaya,"Drama, Sci-Fi",49.5,7.1
2003,Kal Ho Naa Ho,"Comedy, Drama",38,8
2003,Baghban,Drama,22.5,7.4
2003,Tere Naam,"Drama, Romance",14.5,7.1
2003,Andaaz,"Drama, Romance",13.5,5.3
2003,Chalte Chalte,"Drama, Romance",13,6.6
2003,Main Prem Ki Diwani Hoon,"Comedy, Romance",12.5,4.1
2003,Hungama,Comedy,12,7.5
2003,LOC Kargil,"Action, Drama",11.5,5.1
2003,Qayamat,"Action, Thriller",10.5,4.4
2004,Veer-Zaara,"Drama, Romance",41,7.8
2004,Main Hoon Na,"Action, Comedy",33,7
2004,Mujhse Shaadi Karogi,"Comedy, Drama",29,6.7
2004,Dhoom,"Action, Crime",29,6.6
2004,Hum Tum,"Comedy, Drama",21,7
2004,Fida,"Action, Romance",14.5,5.5
2004,Murder,"Drama, Thriller",14.5,5.5
2004,Masti,"Comedy, Romance",13.5,6.1
2004,Lakshya,"Drama, War",13,7.8
2004,Aitraaz,"Drama, Romance",13,6.6
2005,No Entry,"Comedy, Drama",43,6.5
2005,Bunty Aur Babli,"Comedy, Drama",36,6.3
2005,Garam Masala,"Comedy, Drama",33,6.6
2005,Kyaa Kool Hai Hum,Comedy,29,6.3
2005,Black,Drama,28,8.1
2005,Salaam Namaste,"Comedy, Drama",27,6.3
2005,Paheli,"Drama, Fantasy",27,6.5
2005,Parineeta,"Drama, Musical",26,7.1
2005,Waqt: The Race Against Time,"Drama, Family",23,7
2005,Maine Pyaar Kyun Kiya,"Comedy, Drama",22.5,5.5
2006,Dhoom 2,"Action, Crime",82.3,6.3
2006,Lage Raho Munna Bhai,"Comedy, Drama",75,8.1
2006,Krrish,"Action, Adventure",69,6.4
2006,Kabhi Alvida Naa Kehna,"Drama, Romance",46,6.1
2006,Don,"Action, Crime",51,7.1
2006,Phir Hera Pheri,"Comedy, Crime",41,6.9
2006,Fanaa,"Drama, Romance",52,7.1
2006,Vivah,"Drama, Romance",31,6.6
2006,Omkara,"Action, Crime",23.5,8.1
2006,Baabul,"Drama, Family",22,5.3
2007,Om Shanti Om,"Comedy, Drama",79.42,6.7
2007,Welcome,"Comedy, Romance",72.21,6.9
2007,Taare Zameen Par,"Drama, Family",61.83,8.4
2007,Chak De! India,"Drama, Sport",61.59,8.2
2007,Partner,"Comedy, Romance",60.45,5.7
2007,Bhool Bhulaiyaa,"Comedy, Horror",49.64,7.4
2007,Heyy Babyy,"Comedy, Drama",47.8,6
2007,Jab We Met,"Comedy, Romance",31.2,7.9
2007,Guru,"Drama, Biography",27.93,7.7
2007,Namastey London,"Drama, Romance",27.63,7.1
2008,Ghajini,"Action, Drama",114,7.3
2008,Rab Ne Bana Di Jodi,"Comedy, Drama",84.68,7.2
2008,Singh Is Kinng,"Action, Comedy",69.5,5.7
2008,Dostana,"Comedy, Drama",44,6.5
2008,Race,"Action, Drama",60,6.6
2008,Jodhaa Akbar,"Drama, History",56,7.6
2008,Golmaal Returns,Comedy,51,5.1
2008,Fashion,Drama,27,7
2008,Rock On!!,"Drama, Musical",27,7.7
2008,Jaane Tu... Ya Jaane Na,"Comedy, Romance",24,7.5
2009,3 Idiots,"Comedy, Drama",202,8.4
2009,Love Aaj Kal,"Comedy, Drama",66.56,6.8
2009,Wanted,"Action, Crime",61,6.6
2009,Ajab Prem Ki Ghazab Kahani,"Comedy, Drama",63.5,6.3
2009,De Dana Dan,"Comedy, Drama",48,5.2
2009,Kaminey,"Action, Crime",41,7.4
2009,All the Best: Fun Begins,Comedy,42,6.1
